NameID,XFMR_KVA_RATING,PRIMARY_VOLTAGE,CLASSIFICATION,PCB,PHASE,NO_CUSTOMERS,INSTALLATION_DATE,YEAR,MONTH,YEAR_RANGE,LOWER_VOLTAGE,UPPER_VOLTAGE
TX1633,200.0,27.6/16kV,Submersible,NO,W,46,2006-10-04 09:48:00,2006,10,2004 - 2007,27.6,16.0
TX1783,200.0,27.6/16kV,Submersible,NO,R,33,2006-10-04 09:48:00,2006,10,2004 - 2007,27.6,16.0
TX1607,167.0,16kV,Submersible,NO,B,52,2010-02-21 10:43:00,2010,2,2008 - 2011,16.0,
TX2067,100.0,27.6/16kV,Submersible,NO,B,30,1989-10-31 09:05:00,1989,10,1988 - 1991,27.6,16.0
TX2459,1000.0,16kV,Submersible,NO,W,38,1978-08-23 13:54:00,1978,8,1976 - 1979,16.0,
TX1635,75.0,13.8/8kV,Pole,NO,W,60,1993-12-01 11:46:00,1993,12,1992 - 1995,13.8,8.0
TX1817,50.0,13.8/8kV,Pole,NO,W,32,1983-06-24 11:41:00,1983,6,1980 - 1983,13.8,8.0
TX1236,75.0,13.8/8kV,Pole,NO,W,60,1983-06-24 12:39:00,1983,6,1980 - 1983,13.8,8.0
TX1696,50.0,13.8/8kV,Pole,NO,B,35,1990-08-29 14:34:00,1990,8,1988 - 1991,13.8,8.0
TX1475,50.0,13.8/8kV,Pole,NO,W,21,1992-01-02 19:40:00,1992,1,1992 - 1995,13.8,8.0
TX2111,75.0,8kV,Pole,NO,R,30,1996-01-01 15:56:00,1996,1,1996 - 1999,8.0,
TX2415,50.0,8kV,Pole,NO,W,54,1990-10-16 21:38:00,1990,10,1988 - 1991,8.0,
TX1070,50.0,13.8/8kV,Pole,NO,R,49,1983-06-30 16:32:00,1983,6,1980 - 1983,13.8,8.0
TX1602,75.0,13.8/8kV,Pole,NO,W,50,1994-09-01 21:57:00,1994,9,1992 - 1995,13.8,8.0
TX1784,50.0,13.8/8kV,Pole,NO,B,22,1992-01-02 21:47:00,1992,1,1992 - 1995,13.8,8.0
TX1576,75.0,8kV,Pole,YES,B,26,1988-10-01 16:46:00,1988,10,1988 - 1991,8.0,
TX2076,75.0,13.8/8kV,Pole,NO,B,30,1992-01-02 22:02:00,1992,1,1992 - 1995,13.8,8.0
TX1431,100.0,13.8/8kV,Pole,NO,B,58,1989-06-01 21:14:00,1989,6,1988 - 1991,13.8,8.0
TX2280,50.0,13.8/8kV,Pole,NO,R,32,1997-10-01 18:31:00,1997,10,1996 - 1999,13.8,8.0
TX1752,75.0,13.8/8kV,Pole,YES,B,27,1988-08-18 08:05:00,1988,8,1988 - 1991,13.8,8.0
TX2365,50.0,13.8/8kV,Pole,NO,W,47,1990-11-14 08:01:00,1990,11,1988 - 1991,13.8,8.0
TX2037,75.0,13.8/8kV,Pole,NO,R,44,1992-01-27 09:06:00,1992,1,1992 - 1995,13.8,8.0
TX2093,100.0,27.6/16kV,Submersible,YES,RWB,27,1984-12-11 21:09:00,1984,12,1984 - 1987,27.6,16.0
TX1561,75.0,13.8/8kV,Pole,NO,W,40,1994-09-01 17:32:00,1994,9,1992 - 1995,13.8,8.0
TX1238,75.0,13.8/8kV,Pole,NO,B,45,1983-06-24 09:44:00,1983,6,1980 - 1983,13.8,8.0
TX1929,100.0,16kV,Pole,NO,W,39,2000-10-23 11:28:00,2000,10,2000 - 2003,16.0,
TX2006,50.0,27.6/16kV,Pole,NO,B,21,2000-10-23 12:27:00,2000,10,2000 - 2003,27.6,16.0
TX1841,75.0,13.8/8kV,Pole,NO,R,15,1993-06-25 18:59:00,1993,6,1992 - 1995,13.8,8.0
TX1940,50.0,13.8/8kV,Pole,NO,R,24,1995-05-01 20:57:00,1995,5,1992 - 1995,13.8,8.0
TX1396,50.0,13.8/8kV,Pole,NO,B,700,1986-10-14 11:01:00,1986,10,1984 - 1987,13.8,8.0
TX2224,75.0,13.8/8kV,Pole,NO,B,35,1993-11-01 16:37:00,1993,11,1992 - 1995,13.8,8.0
TX1202,50.0,13.8/8kV,Pole,YES,W,57,1993-06-25 09:21:00,1993,6,1992 - 1995,13.8,8.0
TX2266,50.0,27.6/16kV,Pole,YES,R,34,1987-03-04 11:00:00,1987,3,1984 - 1987,27.6,16.0
TX2143,167.0,16kV,Submersible,YES,R,15,1984-12-11 15:49:00,1984,12,1984 - 1987,16.0,
TX1033,75.0,2.4kV,Pole,NO,B,49,1997-10-10 08:51:00,1997,10,1996 - 1999,2.4,
TX1432,75.0,13.8/8kV,Pole,NO,W,38,1983-06-24 09:49:00,1983,6,1980 - 1983,13.8,8.0
TX2357,75.0,16kV,Pole,NO,B,49,1991-10-01 18:17:00,1991,10,1988 - 1991,16.0,
TX2344,75.0,16kV,Pole,NO,B,32,1983-08-09 17:50:00,1983,8,1980 - 1983,16.0,
TX1603,50.0,16kV,Pole,YES,R,56,1983-08-19 16:49:00,1983,8,1980 - 1983,16.0,
TX1843,167.0,13.8/8kV,Submersible,NO,B,22,1992-07-21 10:46:00,1992,7,1992 - 1995,13.8,8.0
TX2198,75.0,13.8/8kV,Pole,NO,W,60,1993-12-01 19:17:00,1993,12,1992 - 1995,13.8,8.0
TX1650,50.0,13.8/8kV,Pole,NO,B,36,1993-12-01 22:27:00,1993,12,1992 - 1995,13.8,8.0
TX2040,75.0,27.6/16kV,Submersible,NO,B,17,1999-04-22 21:02:00,1999,4,1996 - 1999,27.6,16.0
TX2153,50.0,27.6/16kV,Pole,NO,R,15,1985-05-01 19:32:00,1985,5,1984 - 1987,27.6,16.0
TX2409,100.0,27.6/16kV,Pole,NO,W,18,2003-01-16 20:51:00,2003,1,2000 - 2003,27.6,16.0
TX1786,50.0,27.6/16kV,Pole,NO,B,40,1983-01-04 21:10:00,1983,1,1980 - 1983,27.6,16.0
TX2140,75.0,16kV,Pole,NO,B,48,1989-08-01 20:17:00,1989,8,1988 - 1991,16.0,
TX1601,100.0,27.6/16kV,Pole,NO,B,28,2001-10-22 21:37:00,2001,10,2000 - 2003,27.6,16.0
